Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
EME,"EMCOR Group, Inc.",88.37,$4.85B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/eme,
EBS,"Emergent Biosolutions, Inc.",79.17,$4.2B,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ebs,
EMR,Emerson Electric Company,79.95,$47.81B,n/a,Energy,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/emr,
ESRT,"Empire State Realty Trust, Inc.",9.86,$2.83B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/esrt,
ENBL,"Enable Midstream Partners, LP",5.29,$2.3B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enbl,
ENB,Enbridge Inc,31.32,$63.43B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enb,
EHC,Encompass Health Corporation,82.84,$8.24B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ehc,
DAVA,Endava plc,61.57,$3.73B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/dava,
ENIA,Enel Americas S.A.,7.88,$11.99B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enia,
ENIC,Enel Chile S.A.,3.72,$5.15B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enic,
ENR,"Energizer Holdings, Inc.",41.64,$2.85B,2015,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/enr,
ET,Energy Transfer L.P.,6.71,$18.1B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/et,
EPAC,Enerpac Tool Group Corp.,23.11,$1.38B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/epac,
ENS,Enersys,83.77,$3.57B,2004,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/ens,
E,ENI S.p.A.,20.75,$36.77B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/e,
ENLC,"EnLink Midstream, LLC",3.87,$1.9B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enlc,
NPO,EnPro Industries,72.96,$1.5B,n/a,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/npo,
ETR,Entergy Corporation,110.6,$22.15B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/etr,
EPD,Enterprise Products Partners L.P.,20.3,$44.31B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/epd,
ENV,"Envestnet, Inc",79.22,$4.27B,2010,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/env,
NVST,Envista Holdings Corporation,29.49,$4.71B,2019,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nvst,
EVA,"Enviva Partners, LP",45.07,$1.79B,2015,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/eva,
EOG,"EOG Resources, Inc.",54.42,$31.75B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/eog,
